15
50
-3/11 23/6 22/49 2 -21/4 21/4 95/11 -66/23 24/5 64/95 -95/47 -23/54 -7/8 -76/49 0
-17399856034174878908923/601134743296147580520 -6384630988090793/3331590181920 21323533716967667/259453651754880 -43084301221988350803273/575847051167917649120 8362401553951162548419833/94884300140299855305120 -1157677895898444793136969/3260034127387692695040 -1854136897168417827109279/3037415545401212495520 10024096500313214729/70912858282746480 15234498332658867101501/6415216808519478960 3231207502220176978267/22706019132495098400 -238883786674064067463/1983731066385868800 6914822377320793997/29623199974848480 57698873659412915/1340663618634912 -32134900756400263/1063505425662680 30202234305013229/330214157313040 395594564574582839/674370260696704 850584770150749859/885602456418240 -14129072443332452471/89551805565544882560 3093477524421996470144429/17075383756342634923200 4946810947669753271/29926841706641880 204563649981889921031/935422292274550080 89736520223137019797/23251509718307030160 2966179022558032353/4013370806995550 126111261237464147/586696606982640 2759220159809737411/481242214776960 -61458314667448331/903997295641440 9239582786379854143/372255151497989760 -26495564780299603/342182074934700 146902133581367032508097/120544509681684888800 -3066013124264397568549/14433908369450169600 155796075679992767/3634525995380280 139474054306705779589/2379010811804827200 -6232054970125247320439/7644803796807777600 -20350185603026207/658527387944400 66632396705646685103/2474950614273577440 8173670140466455973/807002205525996480 75239834464741646299/17259117849093120 558303033201450479/7777971760759200 -14194468786114581439/79449154204099680 33331052712595659413/303050087372466720 3107349534706618066141/319453327048326831360 138746459650520329/2368218267455040 1291592604266273796901/6211836515534569920 786676839854651/29729235729270 -4761986937278838703/10767329291278560 11242146543709620859/103797784356351845760 -234134134055023/9351696161808 75801604790966513297/520520444490926880 -17337990222753381997/119607754862756160 -7666740409820143002061/164770931764418808400
10/11 8/3 -21/73 5/89 46/11 -21/97 97/85 31/4 2/29 -31/28 -19/44 17/19 81/77 -55/91 95/62 <
22 -22/41 -45/38 -3/77 -7/3 31/21 -28/43 -31/30 15/14 46/87 26/19 -2 -32/3 -3/5 71/4 <
-28/87 23/44 -9 13/44 80/37 22/3 -71/80 -19 3/16 -67/95 29/27 1/2 -59/48 31 -8/3 <
60/89 -34/93 68/77 -1/2 -13/34 -91/94 16/87 61/6 -41/32 70/11 -85/87 71/43 -35/73 91/55 13/4 <
-90/71 -27/13 -42/37 -73/51 16/23 19/59 -21/44 -8/19 68/45 26 -67/31 -83/7 37/47 31/27 -77/94 <
49/12 23/16 17/77 83/89 -27/70 -6 79/64 12/85 -96/85 -88/83 3/19 2 56/67 -35/44 43/8 <
79/42 29/85 -27/71 23/17 -43 81/94 15/41 -12/11 83/97 27/28 -45/29 5/19 82/77 -99/23 11/3 <
-63/85 5 -67/70 35/24 22/3 -13/87 31/15 19/45 74/91 2 -16/47 22/29 -5/3 -2/3 -28/13 <
-28 12/5 -25/27 22/71 8/29 -23/5 88/95 -49/83 -79/19 85/56 -41/34 -34/9 12 47/39 27/38 <
-7/4 23/47 -2/5 -8/71 2/11 -69/19 67/39 53/50 69/79 67/92 -1 -45/56 -7/39 -31/23 24/7 <
92/81 -61/64 -3/5 -1/60 -58/31 70/57 5/14 53/89 -1/21 10/13 -21/29 -19/9 -13/8 -51/50 16/7 <
-40/13 -91/67 -96/91 94/7 -12/35 -8/19 -3/77 -29/57 79/16 -26/23 -79/2 89 -17/2 -93/55 -7/5 <
-15/28 64/43 -47/6 -31 -13/43 -23/93 -40/3 16 4/3 81/94 -11/9 -20/3 55/31 -15/76 -50/13 <
